;;;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;142;142;142;162;162;162;162,284;162,285;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;142;214;215;162;162;162;162,304;162,305,307;162;162,287;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;142;90;214;215;162;162;162;162;162;162;162;162;162;172;173;162;162,284;142;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;142;110;214;214;215;162;162;162;162;162;162;162;162;192;193;162;162,284;162,285;162;162;162;162;162;162;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;142;142;78;79;214;162;162;162;12;13;162;162;162;162;162;162;162,304;162,305;162;215;214;214;215;162;162;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;142;98;99;132;214;162;162;32;33;162;214;162,151;142;142;142;162;162;215;214;91;91;214;215;162;162;162;162;162,287;142;142;;;;;;;;;;142;142;142;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;142;118;119;162,170;139;140;162;52;53;162;162;214;162;162;162;162;162;162;215;214;214;215;162;162;162;162;162;162;162,287;142;142;142;142;142;142;142;142;142;142;142;164;162;162;162;162;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;142;142;142;142;142;142;142;142;142;142;162;162;162;162;162;162;162;162;142;142;142;142;162;162;214;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;142;162;162;162;162;162;162;162;162;162;162;162;162;162;214;162,91;214;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;142;142;142;142;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;142;142;142;142;162;162;162;162;162;162;162;162;215;162;215;214;215;162;162;162;162;162;94;95;96,307;97;162;162;162;162;162;162;162;162;162;162;162;162;162;215;214;215;162;162;142;142;142;142;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;142;162;162;162;162;162;162;162;162,214;214;162,151;142;142;142;162;162;162;162;162;162;162;162,285;162;162;162;162;162;214;162;162;162;162;162;162;162;215;214;162,91;214;215;162;162;162;162;142;142;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;142;142;142;142;162;162;162;162;162;215;214;162;162,284;162,285;162;162;162;162;162;162;162;162,305;162;162;162;162;214;162,151;142;142;142;162;162;162;162;162;215;214;215;162;162;162;162;162;162;142;142;142;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;142;162;162;162;162;162;162;162;162;162;162,305;162;162;142;142;142;142;162;162;162;162;162;215;214;215;162,287;162,287;162;162;162;162;162;162;162;215;162;162;162;162;162;162;162;162,284;162,285,307;142;142;142;142;142;142;142;142;142;142;142;142;142;142;142;;;;
;;;;;;;;;;;;;;;;;142;142;142;162;162;162;162;162;162;162;162;162;162;162;162,287;162,287;162;162,214;162;162;162;142;142;142;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162;162,304;162,305;162;162;162;172;173;162;162;162;162;162;162;162;162;162;142;142;142;;
;;;;;;;;;;;;;;;;;;;142;162;162;162;162;162;162,214;162;162;162;162;162;162;162;162,214;162,91;162,214;162;162;162;162,287;162;162;162;162;162;162;162;162;162;142;142;142;142;142;162;162;162;162;162;162;162;162;162;162;192;193;162;162;162;215;214;215;162;162;162;162;162;142;142;
