;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;144;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;144;205,285;205;205;205,10;205;205,215;205,215;205,214;205,20,214;205,20,91;205,214;205,214;205,215;205,215;205;205,10;205;205;205;144;144;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205,304;205,305;205;205;205,10;205;205,20;205,215;205,215;205,214;205,214;205,214;205,215;205,215;205;205;205,10;205;205;205;205;144;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;144;205;205;205;205,215;205,30;205;205,20;205;15;16;16;16;17;205;205,20;205,20;205,30;205,20,215;205;205;205;144;144;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205;205;205,20,215;205,20,215;205,215;205;205,20;205;206,35;205,36;205,36;205,36;37;205;205;205;205,20,215;205,20,215;205,215;205;205;205;144;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;144;205,215;205;205,215;205,215;205,20,214,215;205,20,215;205,215;205;205;206,55;205;205,#56;205;57;205;205;205,215;205,20,215;205,214;205,215;205,215;205;205,215;144;144;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205,215;205,215;205,20,215;205,20,215;205,20,214;205,214;205,20,214;205,20,215;205,215;205;206,75;205;205,#76;205;77;205;205,215;205,215;205,214;205,214;205,214;205,20,215;205,20,215;205,215;205,215;144;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;144;144;144;144;144;144;144;205,215;205,214;205,20,215;205,214;205,214;205,214,91;205,214;205,214;205,215;144,114;144;144;144;144;144;144,155;205,215;205,214;205,214;205,214,91;205,214;205,214;205,215;205,214;205,215;144;144;144;144;144;144;144;144;144;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205;205;205;205;205,215;205,20,215;205,20,214;205,214;205,20,214;205,215;205,214;205,214;144;144;144,155;144,155;;;;;;144;144;144;144;205,214;205,214;205,215;205,214;205,214;205,214;205,215;205,215;205;205;205;205;205,31;205;144;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205;205,20;205;205,215;205,215;205,20,214;205,214;205,214,91;205,214;205,214;144;144;144;;;;;;;;;;;;144;144,155;144,155;205,214;205,214;205,20,214,91;205,20,214;205,20,214;205,20,215;205,20,215;205;205;205;205,31;205;144;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205;205;205,20;205;205,215;205,20,215;205,214;205,214;144;144;144;;;;;;;;;;;;;;;;144;144;144;205,214;205,214;205,215;205,215;205,20;205;205;205;205,20,31;205;144;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205;146;146;144;144;144,154;144,114;144;144;;;;;;;;;;;;;;;;;;;;144;144;144,114;144,155;144;144;146;146;205;205,20;205;144;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205,20;205,20;205;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;205;205;205;205,20;205;144;
